project title,tagline,description,ideas,technologies,topics,contributor_guidance,url
PowerDNS,PowerDNS provides open source DNS software,"PowerDNS is a suite of open source DNS software, consisting of the Authoritative Server, the PowerDNS Recursor , and dnsdist.",https://www.powerdns.com/gsoc.html,"c++, DNS","DNS recursive solutions, Authoritative DNS software",,https://summerofcode.withgoogle.com/programs/2022/organizations/powerdns
Joomla!,The flexible platform empowering website creators.,"The Joomla CMS is a PHP based application that powers about 2.2% of the web, 3.5% of all CMS based websites, as well as many intranets. Joomla has been downloaded over 119 Million times: https://downloads.joomla.org/ The Joomla project has hundreds of contributors, organized in a set of working groups and teams, and a leadership group. These are coordinated by the [Departments](https://volunteers.joomla.org/departments/ ""Joomla Departments""). Joomla is a community driven FOSS project developed and maintained by an international community encompassing over 150 countries. Joomla is used by millions of websites and web applications ranging from the hobbyist, professional web developer, to large enterprises, for both the World Wide Web and intranets. Joomla is available in 76 languages with an active and dedicated translation team https://community.joomla.org/translations/joomla-3-translations.html The Joomla Project is a community effort which strives to engage contributors from diverse backgrounds and varying interests and skills in building and supporting great software together. The [mission, vision and values](https://www.joomla.org/about-joomla/the-project/mission-vision-and-values.html ""Joomla Mission vision and values"") of the Joomla Project reflect this. The official umbrella organisation is Open Source Matters (OSM), the not for profit organization that manages financial and legal issues for the Joomla Project. A team of experienced people drawn from many areas of the project will manage the 2023 GSoC project for Joomla.",https://docs.joomla.org/GSoC_2025_Project_Ideas,"mysql, javascript, html, php, css","web, programming languages, web development, web applications, cms",https://docs.joomla.org/GSoC_2025,https://summerofcode.withgoogle.com/programs/2022/organizations/joomla
BRL-CAD,3D CAD & other computer-aided tech (CAx),"This is the place to be if you love computer graphics. We do 2D/3D modeling, 3D printing, solid geometry, design, and more. Depending on the project, you have the opportunity to work with C/C++, Python, OpenGL, OpenCL, Qt, Javascript, and more... Help us develop open source computer-aided technologies (CAx)!

We operates as an umbrella organization with several CAx communities including:

- OpenSCAD is a solid 3D modeler with a rich syntax for programmable geometry.
- LibreCAD is a 2D modeling system specializing in blueprint-style drawings and draftings.
- IfcOpenShell is a library for working with standard IFC building model data.
- BRL-CAD is a solid modeling suite with conversion and advanced solid ray tracing features.
- Manifold is a solid geometry mesh processing library.

We want to select at least one student for each, so feel free to ask us where to start.",https://github.com/opencax/GSoC/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2025%22,"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, deep neural net rendering",https://opencax.github.io/gsoc_checklist.html,https://summerofcode.withgoogle.com/programs/2022/organizations/brl-cad
NumFOCUS,NumFOCUS promotes open source scientific software.,"NumFOCUS supports and promotes world-class, innovative, open source scientific software. Most individual projects, even the wildly successful ones, find the overhead of a non-profit to be too large for their community to bear. NumFOCUS provides a critical service as an umbrella organization for this projects.",https://github.com/numfocus/gsoc/blob/master/2025/ideas-list.md,"python, c++, r, julia","data science, graphics, ai, scientific computing, numerical computation",https://github.com/numfocus/gsoc/blob/master/CONTRIBUTING-students.md,https://summerofcode.withgoogle.com/programs/2022/organizations/numfocus
IOOS,"Our eyes on the ocean, coasts, and Great Lakes","IOOS is our eyes on the ocean, coasts, and Great Lakes. We are an integrated network of people and technology gathering observing data and developing tracking and predictive tools to benefit the economy, the environment, and public safety at home, across the nation, and around the globe.",https://github.com/ioos/gsoc/blob/main/2025/ideas-list.md,"python, java, r, Zarr, NetCDF","open data, open science, data management, Oceanography, Marine Biodiversity",https://github.com/ioos/gsoc/blob/main/contributor-guidance.md,https://summerofcode.withgoogle.com/programs/2022/organizations/ioos
Scala Center,Guide and support the Scala community,"We are an independent not-for-profit center established at EPFL. Scala Center's Mission is to guide and support the Scala community, coordinate and develop open-source libraries and tools for the benefit of all Scala users, provide deep, and quality, educational materials for Scala.",https://github.com/scalacenter/GoogleSummerOfCode,"scala, scala.js, scala native","education, compilers, tooling",,https://summerofcode.withgoogle.com/programs/2022/organizations/scala-center
National Resource for Network Biology (NRNB),Developing open source tools for network biology,"The National Resource for Network Biology (NRNB, https://www.nrnb.org) organizes the development of free, open-source software technologies to enable network-based visualization, analysis, and biomedical discovery. Biomedical research is increasingly dependent on knowledge expressed in terms of networks, including gene, protein and drug interactions, cell-cell and viral-host communication, and vast social networks. Our technologies enable researchers to assemble and analyze these networks and to use them to better understand biological systems and, in particular, how they fail in disease. The NRNB mentoring organization includes projects such as Cytoscape (https://cytoscape.org/), WikiPathways (https://wikipathways.org/), SBML (https://sbml.org/), and SBGN (https://sbgn.github.io/). This is a great opportunity to work at the intersection of biology and computing! For example, Cytoscape is downloaded over 20,000 times per month by researchers. We take mentoring seriously and are proud of our 96% success rate (https://www.nrnb.org/alumni.html#gsoc-tab) with former students and projects. But don’t take our word for it, read testimonials from prior NRNB students (https://www.nrnb.org/testimonials.html#student-tab) and mentors (https://www.nrnb.org/testimonials.html#mentor-tab).",https://github.com/nrnb/GoogleSummerOfCode/issues,"python, javascript, json, html, css","machine learning, web application, data science, scientific computing, network biology",https://docs.google.com/document/d/1Zi6L38CHEeq2aL6xzv0Ozhd_Y6D71W3yCBGHplmxr6k/edit?usp=sharing,https://summerofcode.withgoogle.com/programs/2022/organizations/national-resource-for-network-biology-nrnb
The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,"Are you interested in contributing to a widely-used performance evaluation tool for computer networking research? ns-3 is a *discrete-event, packet-level network simulator* with an emphasis on networking research and education. Users of ns-3 can construct simulations of computer networks using models of traffic generators, protocols such as TCP/IP, and devices and channels such as Wi-Fi and LTE, and analyze or visualize the results. Simulation plays a vital role in the research and education process, because of the ability for simulations to obtain reproducible results (particularly for wireless protocol design), scale to large networks, and study systems that have not yet been implemented. A particular emphasis in ns-3 is a high degree of realism in the models (including frameworks for using real application and kernel code) and integration of the tool with virtual machine environments and testbeds. Very large scale simulations are possible; simulations of hundreds of millions of nodes have been published. ns-3 has been in development since 2005 and has been making regular releases since June 2008. The simulator is written in C++, with bindings for Python scripting, and uses the CMake build system. We use a GPLv2 licensing model and heavily use mailing lists and Zulip chat, but typically not other social media.",https://www.nsnam.org/wiki/GSOC2025Projects,"python, django, c++","computer networking, network simulation",https://www.nsnam.org/wiki/GSOC2025ContributorGuide,https://summerofcode.withgoogle.com/programs/2022/organizations/the-ns-3-network-simulator-project
FRRouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM","FRRouting (FRR) is an IP routing protocol suite for Linux and Unix platforms which includes protocol daemons for BGP, IS-IS, LDP, OSPF, PIM, PBR, RIP, BFD, Babel, OpenFabric, VRRP, EIGRP, and NHRP. FRR’s seamless integration with the native Linux/Unix IP networking stacks makes it applicable to a wide variety of use cases including connecting hosts/VMs/containers to the network, advertising network services, LAN switching and routing, Internet access routers, and Internet peering. FRR is a high performance suite written primarily in C. It can easily handle full Internet routing tables and is suitable for use on hardware ranging from cheap SBCs to commercial grade routers. It is actively used in production by hundreds of companies, universities, research labs and governments. A Linux Foundation Collaborative Project, FRR is distributed under GPLv2, with development modeled after the Linux kernel. Anyone may contribute features, bug fixes, tools, documentation updates, or anything else. FRR is a fork of Quagga.",https://frrouting.github.io/frr-gsoc/year-2022/,"c, linux, networking, linux kernel, routing","networking, software defined networking, linux, routing, systems",https://frrouting.github.io/frr-gsoc/,https://summerofcode.withgoogle.com/programs/2022/organizations/frrouting
MIT App Inventor,Anyone can build apps with global impact,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps. It has been used by over 8 million people worldwide who have built more than 30 million apps. It is available in twelve different languages and used by people from ages 13 and up.",https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025,"javascript, java, gwt, swift","education, development tools, android, ios",https://github.com/mit-cml/appinventor-sources/wiki/Google-Summer-of-Code-2025,https://summerofcode.withgoogle.com/programs/2022/organizations/mit-app-inventor
